,CODE,BRAND,ITEM,PACK,Price without VAT,PRICE WITH VAT,VAT Code,
361,TRS,LIFEBUOY,LIFEBUOY SOAP BLUE,,0.71,0.75,5,
362,LBN,LIFEBUOY,LIFEBUOY SOAP GREEN,,0.71,0.75,5,
363,,KTC,LINSEED OIL ,250ml,1.99,2.09,5,
364,,PRAN,LITCHI 260ML BOTTLE,260gr,0.34,0.36,5,
365,,SUPREME,MADRAS CURRY POWDER EXTRA HOT ,400gr,1.67,1.75,5,
366,,TRS,MADRAS CURRY POWDER HOT ,400gr,1.78,1.87,5,
367,AE,TRS,MADRAS CURRY POWDER HOT ,100gr,0.71,0.75,5,
368,PRAN,TRS,MADRAS CURRY POWDER MILD ,100gr,0.71,0.75,5,
369,,TRS,MADRAS CURRY POWDER MILD ,400gr,1.78,1.87,5,
370,,MAGGI,MAGGI CUBES (AFRICAN)   SP.OFFER,60x10g,1.99,2.09,5,
371,TRS,MAGGI,MAGGI MASALA NOODLES,77gr,0.35,0.37,5,
372,,MAGGI,MAGGI MASALA NOODLES  (4PAK),79gr,1.10,1.16,5,
373,,SUPREME,MAKKAI ATTA (CORNMEAL FINE),1.5kg,1.75,1.84,5,
374,TRS,ANNAM ,MAKKAI ATTA FLOUR,1kg,1.49,1.56,5,
375,RUHUNU,MALTA,MALTA GUINNESS NON ALCOHOLIC DRINK,330ml,1.14,1.36,19,
376,PRAN,MALTINA ,MALTINA NON ALCOHOLIC MALT DRINK,330ml,0.88,1.05,19,
377,RUHUNU,PRAN,MANGO DRINKS (TETRA PACK) 1lt,12pcs,8.55,8.98,5,
378,TRS,RANI,MANGO JUICE,240ml,0.55,0.58,5,
379,,PRAN,MANGO PICKLE (GLASS JAR),400gr,1.14,1.20,5,
380,,AHMED,MANGO PICKLES,1kg,2.99,3.14,5,
381,,A1,MANGO PICKLES,1kg,2.38,2.50,5,
382,TRS,KESAR,MANGO PULP,850gr,2.86,3.00,5,
383,,MDH,MEAT CURRY MASALA  ,100gr,1.38,1.45,5,
384,,PRAN,MEAT CURRY MASALA (PAPER PACK),100gr,0.76,0.80,5,
385,TRS,RUHUNU,MEAT CURRY MIX,50gr,0.62,0.65,5,
386,TRS,WIJAYA,MEAT CURRY POWDER,250gr,1.90,2.00,5,
387,TRS,SHAN,MEAT MASALA,100gr,0.71,0.75,5,
388,TRS,PRAN,MEAT MASALA (JAR),150gr,0.95,1.00,5,
389,,ANNAM ,MEHIDI CONE,10gr,0.71,0.75,5,
390,,ANNAM,METHI SEEDS ,100gr,0.48,0.50,5,
391,LBN,TRS,METHI SEEDS   ,100gr,0.48,0.50,5,
392,PRAN,SUPREME,METHI SEEDS   ,100gr,0.48,0.50,5,
393,TRS,PEAK,MILK POWDER,400gr,4.29,4.50,5,
394,,NIDO,MILK POWDER,900gr,9.48,9.95,5,
395,LBN,NIDO,MILK POWDER,400gr,4.29,4.50,5,
396,PRAN,NIDO,MILK POWDER,1.8kg,18.56,19.49,5,
397,,NIDO,MILK POWDER,2.5kg,23.80,24.99,5,
398,,MALIBAN,MILK SHORT CAKE,100gr,0.34,0.36,5,
399,,MILO,MILO CHOCOLATE MILK (TIN),400gr,3.48,3.65,5,
400,PRAN,SUPREME,MIX MASALA WHOLE  ,100gr,1.14,1.20,5,
401,PRAN,PRAN,MIX PICKLE (GLASS JAR),400gr,1.14,1.20,5,
402,PRAN,AHMED,MIX PICKLES,1kg,2.99,3.14,5,
403,PRAN,PRAN,MIXED PICKLE (HDPE JAR) ,2.3kg,4.52,4.75,5,
404,PRAN,SHAN ,MIXED PICKLES,1kg,2.24,2.35,5,
405,PRAN,PANCHRANGA,MIXED PICLES,800gr,1.43,1.50,5,
406,PRAN,PRAN,MOONG DAL BHAJA (LAMINATED PACK),60gr,0.34,0.36,5,
407,PRAN,HALDIRAM,MOONG DAL FIRED,200gr,1.29,1.35,5,
408,,HALDIRAM,MOONG DAL MASALA FRIED,200gr,1.29,1.35,5,
409,LBN,MOVE,MOOVE CREAM,30gr,2.38,2.83,19,
410,TRS,SUPREME,MOTH BEANS,500g,1.38,1.45,5,
411,TRS,PRAN,MR NOODLES (CUP) BEEF,70gr,1.34,1.41,5,
412,TRS,PRAN,MR NOODLES (CUP) CHICKEN,70gr,0.34,0.36,5,
413,,PRAN,MR NOODLES (CUP) CURRY,70gr,0.34,0.36,5,
414,LBN,PRAN,MR NOODLES (CUP) VEGETABLE,70gr,0.34,0.36,5,
415,LBN,PRAN,MR NOODLES (POLY PACK) BEEF,70gr,0.71,0.75,5,
416,LBN,PRAN,MR NOODLES (POLY PACK) CHICKEN CURRY,70gr,0.71,0.75,5,
417,TRS,PRAN,MR NOODLES (POLY PACK) CURRY,70gr,0.71,0.75,5,
418,LBN,PRAN,MR NOODLES (POLY PACK) SPCEL CHICKEN,70gr,0.71,0.75,5,
419,TRS,PRAN,MR NOODLES (POLY PACK) VEGETABLE,70gr,0.71,0.75,5,
420,TRS,SUPREME,MUNG DALL CHILKA   ,1kg,1.86,1.95,5,
421,TRS,SUPREME,MUNG DALL CHILKA   ,500gr,0.95,1.00,5,
422,,TRS,MUNG DALL WASHED,500gr,1.38,1.45,5,
423,TRS,TRS,MUNG DALL WASHED,1kg,2.48,2.60,5,
424,,SUPREME,MUNG DALL WASHED,500gr,1.38,1.45,5,
425,,SUPREME,MUNG DALL WASHED,1kg,2.38,2.50,5,
426,,SUPREME,MUNG DALL WASHED,2kg,4.57,4.80,5,
427,ANNAM,SHAN,MURTTON (MEMONI) BIRYANI,60gr,0.71,0.75,5,
428,ANNAM,TRS,MUSTARD OIL  ,4ltr,14.35,15.07,5,
429,ANNAM,TRS,MUSTARD OIL   ,1ltr,3.48,3.65,5,
430,TRS,TRS,MUSTARD OIL   ,500ml,1.86,1.95,5,
431,TRS,TRS,MUSTARD OIL    ,250ml,0.95,1.00,5,
432,RUHUNU,ANNAM,MUSTARD POWDER,100gr,0.62,0.65,5,
433,,ANNAM,MUSTARD SEEDS ,100gr,0.48,0.50,5,
434,TRS,TRS,MUSTARD SEEDS   ,100gr,0.48,0.50,5,
435,PRAN,SUPREME,MUSTARD SEEDS   ,100gr,0.48,0.50,5,
436,ANNAM,NAVARATHA,NAVARATHA HAIR OIL,300ml,3.33,3.96,19,
437,ANNAM,NAVARATHA,NAVARATHA HAIR OIL,200ml,2.67,3.18,19,
438,PRAN,NAVARATHA,NAVARATHA HAIR OIL,100ml,1.55,1.84,19,
439,AE,NESTAMALT,NESTAMALT MILK POWDER  TIN 400gr,400gr,3.33,3.50,5,
440,TRS,HALDIRAM,NIMBU MASALA   ,200gr,1.29,1.35,5,
441,,TRS,NUTMEGS (JAIFAL)    ,100gr,3.24,3.40,5,
442,,SUPREME,NUTMEGS (JAIFAL)    ,100gr,3.24,3.40,5,
443,,RUHUNU,NUTMEGS (JAIFAL)    ,20gr,0.62,0.65,5,
444,,PRAN,OLIVE PICKLE (GLASS JAR),300gr,1.14,1.20,5,
445,LBN,PRAN,ORANGE DRINKS (TETRA PACK),1lt,0.71,0.75,5,
446,,PRAISE,PALM CREAM,400gr,1.75,1.84,5,
447,,A.F.P,PALM OIL,750ml,2.95,3.10,5,
448,TRS,A.F.P,PALM OIL ,1ltr,3.74,3.93,5,
449,LBN,A.F.P,PALM OIL ,500ml,2.14,2.25,5,
450,PRAN,TRS,PANCH PUREN   ,100gr,0.71,0.75,5,
451,PRAN,SUPREME,PANCH PUREN   ,100gr,0.71,0.75,5,
452,,DALIA,PANGUSH (WHOLE/CUT),1kg,3.33,3.50,5,
453,LKR DE,ANNAM,PANI PURI CHIPS,200gr,0.95,1.00,5,
454,TRS,RAJNIGANDHA,PANPARAG PAN MASALA,100gr,4.48,4.70,5,
455,,TRS,PAPADOMS MADRAS PLAIN   ,200gr,1.24,1.30,5,
456,,SUPREME,PAPADOMS PLAIN,200gr,1.14,1.20,5,
457,PRAN,ANNAM,PAPADOMS PLAIN,150gr,0.71,0.75,5,
458,,PAPAYA,PAPAYA SOAP,125gr,0.95,1.13,19,
459,TRS,TRS,PAPRIKA POWDER   ,100gr,0.71,0.75,5,
460,LKR DE,SUPREME,PAPRIKA POWDER   ,100gr,0.71,0.75,5,
461,PRAN,PRAN,PARATHA FAMILY  PACK,1300gr,2.95,3.10,5,
462,,PRAN,PARATHA SMALL,400gr,1.14,1.20,5,
463,,PARLE,PARLE G COOKIES,79.9gr,0.29,0.30,5,
464,,PCD,PEANUT BUTTER,350gr,1.75,1.84,5,
465,,TRS,PEANUTS PINK    ,375gr,1.48,1.55,5,
466,,TRS,PEANUTS RED    ,375gr,1.48,1.55,5,
467,TRS,AFP,PEANUTS WITH SKIN,800gr,2.85,2.99,5,
468,,AFP,PEANUTS WITHOUT SKIN,800gr,2.85,2.99,5,
469,LBN,PRAN,PINEAPPLE DRINKS (TETRA PACK) 1lt,12pcs,0.71,0.75,5,
470,,HALDIRAM,PLAIN BHUJIA,200gr,1.29,1.35,5,
471,,ANNAM,PONNI BOILED RICE,1kg,1.86,1.95,5,
472,TRS,ANNAM,PONNI RAW RICE,1kg,1.86,1.95,5,
473,LKR DE,TRS,POPCORN,500gr,0.71,0.75,5,
474,,KTC,POPPY SEEDS OIL,250ml,3.85,4.04,5,
475,TRS,SUPREME,POPPY SEEDS WHITE  ,100gr,0.95,1.00,5,
476,TRS,M P ,POUNDO IYAN,910kg,3.49,3.66,5,
477,LBN,TRS ,POWHA MEDIUM- FLAT RICE,1kg,2.52,2.65,5,
478,LBN,TRS,POWHA MEDIUM- FLAT RICE,300gr,0.95,1.00,5,
479,,SUPREME,POWHA MEDIUM-FLAT RICE,250gr,0.71,0.75,5,
480,LBN,SUPREME,POWHA MEDIUM-FLAT RICE,700gr,1.52,1.60,5,
481,LBN,PRAN,PUFFED RICE (NORMAL),250gr,0.62,0.65,5,
482,,PRAN ,PUFFED RICE (SP/OFFER),,1.43,1.50,5,
483,TRS,LAZIZA,PULAO BIRYANI MASALA,100gr,1.24,1.30,5,
484,TRS,KCB,PUNJABI MIX,450gr,1.90,2.00,5,
485,,HALDIRAM,PUNJABI TADKA,200gr,1.29,1.35,5,
486,LKR DE,ANNAM,RANI SOAP,100gr,0.71,0.75,5,
487,LKR DE,ANNAM,RED BASMATI ,1kg,2.62,2.75,5,
488,,TRS,RED KIDNEY BEANS   ,500gr,1.49,1.56,5,
489,LKR DE,TRS,RED KIDNEY BEANS   ,1kg,2.49,2.61,5,
490,LKR DE,SUPREME,RED KIDNEY BEANS   ,500gr,1.49,1.56,5,
491,LBN,SUPREME,RED KIDNEY BEANS   ,1kg,2.38,2.50,5,
492,LBN,SUPREME,RED KIDNEY BEANS   ,2kg,4.57,4.80,5,
493,LBN,SUPREME,RED KIDNEY BEANS CANNED BOILED ,400gr,0.57,0.60,5,
494,LBN,TRS,RED KIDNEY BEANS CANNED BOILED RED ,400gr,0.57,0.60,5,
495,,BROOKE BOND,RED LABEL LOOSE TEA,250gr,2.48,2.60,5,
496,RICE,BROOKE BOND,RED LABEL LOOSE TEA,450gr,4.75,4.99,5,
497,,TRS,RED LENTILS,500gr,0.86,0.90,5,
498,DALIA,TRS,RED LENTILS,1kg,1.43,1.50,5,
499,RICE,ANNAM,RED PARBOILED RICE ,1kg,1.58,1.66,5,
500,RICE,ANNAM,RED PARBOILED RICE ,5kg,6.35,6.67,5,
501,RICE,ANNAM,RED RAW RICE POLISHED ,5kg,6.35,6.67,5,
502,TRS,ANNAM,RED RAW RICE POLISHED ,1kg,1.58,1.66,5,
503,TRS,ANNAM,RED SAMBA RICE (POLISHED),1kg,1.43,1.50,5,
504,,SUPREME,RED SPLIT LENTILS  ,1kg,1.38,1.45,5,
505,,SUPREME,RED SPLIT LENTILS  ,25kg,28.55,29.98,5,
506,DALIA,SUPREME,RED SPLIT LENTILS  ,500gr,0.95,1.00,5,
507,,SUPREME,RED SPLIT LENTILS  ,2kg,2.65,2.78,5,
508,DALIA,ANNAM,REGULAR COFFE,140gr,2.64,2.77,5,
509,RICE,V MAHAL-GOLD,RICE BASMATI,1kg,1.81,1.90,5,
510,,MEHEK,RICE BASMATI,20kg,24.50,25.73,5,
511,TRS,V MAHAL - GOLD ,RICE BASMATI ,20kg,29.95,31.45,5,
512,,V MAHAL - GOLD ,RICE BASMATI ,5kg,8.95,9.40,5,
513,,FALAK SUPER,RICE BASMATI ,20kg,30.50,32.03,5,
514,,FALAK SUPER,RICE BASMATI ,1kg,1.81,1.90,5,
515,,FALAK EXTREME,RICE BASMATI ,20kg,38.00,39.90,5,
516,,FALAK EXTREME,RICE BASMATI ,5kg,10.50,11.03,5,
517,,MEHEK,RICE BASMATI ,5kg,6.50,6.83,5,
518,RICE,DALIA,RICE BASMATI ,1kg,1.52,1.60,5,
519,DALIA,TILDA,RICE BASMATI BROKEN,20kg,15.50,16.28,5,
520,RICE,TILDA,RICE BASMATI BROKEN (SPECIAL OFFERS ),20kg,14.95,15.70,5,
521,,HARIANA KING,RICE BASMATI PARBOILED,5kg,8.95,9.40,5,
522,TRS,HARIANA KING,RICE BASMATI PARBOILED,1kg,1.81,1.90,5,
523,TRS,HARIANA KING,RICE BASMATI PARBOILED ,20kg,29.95,31.45,5,
524,RUHUNU,DALIA,RICE BASMATI PARBOILED ,1kg,1.52,1.60,5,
525,RUHUNU,DALIA,RICE CAROLINA ,1kg,1.00,1.05,5,
526,RUHUNU,SAMAN,RICE CAROLINA URUGUAY ,25kg,21.90,23.00,5,
527,DALIA,SUPREME,RICE FLOUR,400gr,0.86,0.90,5,
528,TRS,TRS,RICE FLOUR   ,500gr,0.95,1.00,5,
529,TRS,ANNAM,RICE FLOUR  RED,1kg,1.95,2.05,5,
530,TRS,ANNAM ,RICE FLOUR WHITE,500gr,0.71,0.75,5,
531,LBN,LOTUS PAGODA,RICE JASMINE,18kg,24.99,26.24,5,
532,,LOTUS PAGODA,RICE JASMINE,1.5kg,6.95,7.30,5,
533,TRS,DALIA,RICE PARBOILED ,1kg,1.00,1.05,5,
534,LKR DE,AROZUR,RICE PARBOILED URUGUAY ,25kg,21.90,23.00,5,
535,,HARIANA KING,RICE SONA MASURI  ,5kg,5.95,6.25,5,
536,,TRS,ROASTED & SALTED CHANA  ,300gr,1.90,2.00,5,
537,TRS,TRS,ROASTED CHANA LARGE  ,300gr,1.90,2.00,5,
538,,DALIA,ROHU (WHOLE/CUT),1kg,3.80,3.99,5,
539,,ROOH-AFZA,ROOH-AFZA,800ml,2.29,2.40,5,
540,,TRS,ROSE WATER,190ml,0.71,0.75,5,
541,,TRS,SAAG SARSON KA CANNED ,450gr,1.38,1.45,5,
542,TRS,TRS,SAAG SARSON KA CANNED ,850gr,2.62,2.75,5,
543,,SUPREME,SAFFRON  PURE,2gr,3.45,3.62,5,
544,,TRS,SAFFRON PURE ,1gr,2.38,2.50,5,
545,,SUPREME,SAGGO SEEDS,400gr,1.14,1.20,5,
546,,ANNAM,SAGGO SEEDS (BIG),300gr,0.95,1.00,5,
547,,ANNAM,SAGGO SEEDS (MEDIUM),250gr,0.95,1.00,5,
548,,TRS,SAGGO SEEDS-TAPIOCA (SABUDANA)    ,500gr,1.19,1.25,5,
549,LKR DE,TRS,SAGGO SEEDS-TAPIOCA (SABUDANA)    ,300gr,1.19,1.25,5,
550,PRAN,SAMAHAN ,SAMAHAN HARBAL TEA,,0.22,0.23,5,
551,TRS,SAMAHAN ,SAMAHAN HARBAL TEA  (30 PIECES BOX),,5.75,6.04,5,
552,TRS,ANNAM,SAMBA(KEERI)RICE,1kg,1.90,2.00,5,
553,TRS,ANNAM,SAMBA(KEERI)RICE,5kg,8.57,9.00,5,
554,,ANNAM,SAMBA(SUPARI)RICE,1kg,1.75,1.84,5,
555,,ANNAM,SAMBA(SUPARI)RICE,5kg,7.99,8.39,5,
556,,MDH,SAMBHAR MASALA   ,100gr,1.38,1.45,5,
557,LBN,SAFI,SARDINES IN VEGTABEL OIL,125gr,0.59,0.62,5,
558,,SAFI,SARDINES IN VEGTABEL OIL (HOT),125gr,0.59,0.62,5,
559,LKR DE,SHAN,SEEKH KEBAB,50gr,0.71,0.75,5,
560,TRS,PRAN,SEMAI,200gr,0.62,0.65,5,
561,,SUMREME,SEMOLINA COARSE   ,1.5kg,1.95,2.05,5,
562,TRS,TRS,SEMOLINA COARSE   ,500gr,0.95,1.00,5,
563,LBN,TRS,SEMOLINA FINE    ,500gr,0.95,1.00,5,
564,,KTC,SESAME SEED OIL   ,250ml,2.86,3.00,5,
565,LKR DE,SUPREME,SESAME SEEDS BLACK,100g,0.62,0.65,5,
566,LKR DE,SUPREME,SESAME SEEDS NATURAL,100gr,0.62,0.65,5,
567,TRS,SUPREME,SESAME SEEDS WHITE  ,100gr,0.62,0.65,5,
568,,TRS,SHAHI KALA JEERA   ,50gr,1.14,1.20,5,
569,,SUPREME,SHAKKER -JAGGERY POWDER,300gr,1.58,1.66,5,
570,,LAZIZA,SINDHI BIRYANI,100g,1.24,1.30,5,
571,,HALDIRAM,SOAN PAPDI PLAIN  (SPECIAL OFFER),250gr,1.90,2.00,5,
572,TRS,TRS,SODA BICARBONATE,100gr,0.48,0.50,5,
573,,TRS,SOYA CHUNKS MEDIUM,250gr,1.33,1.40,5,
574,,TRS,SOYA CHUNKS MEDIUM,500gr,2.28,2.39,5,
575,LKR DE,SUPREME,SOYA CHUNKS MEDIUM,200gr,1.14,1.20,5,
576,,ANNAM,SOYA CHUNKS MEDIUM,250gr,1.14,1.20,5,
577,,ANNAM,SOYA CHUNKS MEDIUM,500gr,1.95,2.05,5,
578,,TRS,SOYA MINCE   ,250gr,1.24,1.30,5,
579,TRS,TVP,SOYA SMALL (CHICKEN),20gr,0.65,0.68,5,
580,,ANNAM,SPICE MIXTURE HOT,175gr,0.95,1.00,5,
581,,TRS,SPLIT PEAS YELLOW   ,500gr,0.71,0.75,5,
582,TRS,PRAN,SPRING ROLL+SAMOSA JAMBO,1500gr,3.90,4.10,5,
583,TRS,TRS,STAR ANISEED,50gr,0.95,1.00,5,
584,TRS,SUPREME,STAR ANISEED,50gr,0.95,1.00,5,
585,TRS,ANNAM,STRING HOPPERS FLOUR (RED) ,700gr,1.43,1.50,5,
586,LBN,ANNAM,STRING HOPPERS FLOUR (White) ,700gr,1.43,1.50,5,
587,PRAN,TRS,SUGAR CANDI (SAKAR/MISRI)  ,100gr,0.71,0.75,5,
588,,ANNAM,SUJI (UPMA),1kg,1.95,2.05,5,
589,,ANNAM,SUJI ROASTED (RAWA),1kg,1.68,1.76,5,
590,,ANNAM,SUJI UN ROASTED (RAWA),1kg,1.68,1.76,5,
591,,ANNAM,SUJI(UPMA ANDHRA SPECIAL),1kg,2.48,2.60,5,
592,TRS,ANNAM,SUPAREE (BETEL NUT),75gr,1.43,1.50,5,
593,TRS,SUPERMALT,SUPERMALT ORIGINAL BOTTLES,330ml,0.68,0.81,19,
594,LBN,TRS,SWEET MANGO CHUTNEY,40kg,62.95,66.10,5,
595,,TRS,SWEET MANGO CHUTNEY,5kg,9.95,10.45,5,
596,TRS,SUPREME,TAMARIND (IMLI) PAST,200gr,0.71,0.75,5,
597,TRS,SUPREME,TAMARIND (IMLI) PAST,400gr,1.43,1.50,5,
598,,TAS,TAMARIND DRINK,330ML,0.69,0.72,5,
599,TRS,TRS,TANDOORI MASALA ,100gr,0.95,1.00,5,
600,LBN,TRS,TANDOORI MASALA ,5kg,26.90,28.25,5,
601,PRAN,PRAN,TOAST (LAMINATED PACK),350gr,1.00,1.05,5,
602,PRAN,DE RICA,TOMATO PASTE,70gr,0.38,0.40,5,
603,RUHUNU,DE RICA,TOMATO PASTE,210gr,0.76,0.80,5,
604,RUHUNU,DE RICA,TOMATO PASTE,400gr,1.33,1.40,5,
605,TRS,SUPREME,TOOR DALL PLAIN   ,500gr,0.71,0.75,5,
606,LBN,SUPREME,TOOR DALL PLAIN   ,1kg,1.43,1.50,5,
607,LBN,DABUR,TOOTHPAST RED,100ml,1.68,2.00,19,
608,,DABUR,TOOTHPASTE BASIL ,100ml,1.68,2.00,19,
609,TRS,DABUR,TOOTHPASTE CLOVE   ,100ml,1.68,2.00,19,
610,TRS,HIMALAYA,TOOTHPASTE COMP CARE,75ml,1.68,2.00,19,
611,LBN,DABUR,TOOTHPASTE NEEM,100ml,1.68,2.00,19,
612,LBN,SUPREME,TUKMARIA (BASIL SEEDS),100gr,0.95,1.00,5,
613,TRS,WIJAYA,TURMARIC- HALDI POWDER,100gr,0.71,0.75,5,
614,TRS,PRAN,TURMARIC- HALDI POWDER (PAPER PACK),400gr,1.95,2.05,5,
615,LBN,PRAN,TURMARIC- HALDI POWDER (PET JAR),250gr,1.29,1.35,5,
616,LBN,WIJAYA,TURMARIC-HALDI POWDER,250gr,1.76,1.85,5,
617,TRS,ANNAM,TURMERIC- HALDI POWDER ,400gr,1.52,1.60,5,
618,TRS,ANNAM,TURMERIC- HALDI POWDER ,100G,0.62,0.65,5,
619,LBN,TRS,TURMERIC-HALDI POWDER,5kg,17.90,18.80,5,
620,LBN,TRS,TURMERIC-HALDI POWDER,100gr,0.62,0.65,5,
621,,TRS,TURMERIC-HALDI POWDER,400gr,1.67,1.75,5,
622,PRAN,SUPREME,TURMERIC-HALDI POWDER,100gr,0.62,0.65,5,
623,PRAN,SUPREME,TURMERIC-HALDI POWDER,400gr,1.67,1.75,5,
624,PRAN,AFP,UKAZI LEAVES,25gr,1.90,2.00,5,
625,PRAN,SUPREME,URAD CHILKA,500gr,1.29,1.35,5,
626,,SUPREME,URAD CHILKA,1kg,2.38,2.50,5,
627,,SUPREME,URAD DALL WASHED,500gr,1.19,1.25,5,
628,TRS,SUPREME,URAD DALL WASHED,1kg,2.28,2.39,5,
629,,SUPREME,URAD WHOLE BLACK,500gr,0.95,1.00,5,
630,,SUPREME,URAD WHOLE BLACK,1kg,1.67,1.75,5,
631,,UTARADA,UTARADA LOOSE TEA ,100gr,1.29,1.35,5,
632,,PRAN,VEGETABLE CURRY (PAPER PACK),100gr,0.76,0.80,5,
633,,PRAN,VEGETABLE SAMOSA ,400gr,1.34,1.41,5,
634,,PRAN,VEGETABLE SINGARA,400gr,1.34,1.41,5,
635,,PRAN,VEGETABLE SPRING ROLL,400gr,1.34,1.41,5,
636,,TRS,VERMICELLI    ,200gr,0.62,0.65,5,
637,,PRAN,VERMICELLI SEMAI (FOIL PACK),200gr,0.62,0.65,5,
638,,WATTAWELE,WATTAWELE LOOSE TEA,100gr,1.29,1.35,5,
639,,WATTAWELE,WATTAWELE LOOSE TEA,200gr,2.55,2.68,5,
640,,SUPREME,WHITE KIDNEY BEANS,1kg,1.81,1.90,5,
641,,TRS,WHITE KIDNEY BEANS CANNED BOILED ,400gr,0.57,0.60,5,
642,,SUPREME,WHITE PEPPER POWDER,100gr,1.43,1.50,5,
643,,AFROASE,WHOLE OGBONO,80gr,1.99,2.09,5,
644,,TRS,WHOLE PEAS GREEN  ,500gr,0.71,0.75,5,
645,TRS,TRS,WHOLE PEAS YELLOW  ,500gr,0.71,0.75,5,
646,,ANNAM,YAHAPOSA,200gr,0.76,0.80,5,
647,TRS,TRS,YELLOW SPLIT PEAS  ,500gr,0.71,0.75,5,
